SET 1,SET 2,SET 3,SET 4,SET 5,Jogadora,Time,Partida,Vencedor,Serviço Err,Serviço Ace,Recepção Tot,Recepção Err,Ataque Exc.,Ataque Err,Ataque Blk,Bloqueio Pts,Fase,Cat,Jogo,VV
5,5,5,,,MAYRA VITORIA DE SOUZA,COUNTRY CLUB VALINHOS,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,1,18,1,12,4,,1,classificatoria,returno,121,0
*,,*,,,DANIELA CECHETTO,COUNTRY CLUB VALINHOS,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,,,,3,,,1,classificatoria,returno,121,0
*,,*,,,JULIA FAHEL,COUNTRY CLUB VALINHOS,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,,,,,,,,classificatoria,returno,121,0
6,1,6,,,ANA CRISTINA,BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,1,1,,,1,,,,classificatoria,returno,121,0
*,*,*,,,MAYNARA DEVESA,BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,,,,,,,,classificatoria,returno,121,0
5,6,5,,,ALINE CRISTINA,BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,3,,,4,1,,,classificatoria,returno,121,0
1,2,1,,,ANA CAROLINE,BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,2,,43,1,1,2,,,classificatoria,returno,121,0
3,4,3,,,ARIANNE TOLENTINO,BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,,,,20,3,,1,classificatoria,returno,121,0
2,3,2,,,EDNA SCHLINDWEIN,BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,2,,,,10,1,,,classificatoria,returno,121,0
*,*,*,,,EMILCE SOSA,BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,,,,,,,,classificatoria,returno,121,0
*,*,*,,,VITORIA TRINDADE (L),BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,,11,2,,,,,classificatoria,returno,121,0
*,*,*,,,SARA DIAS,BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,,,,,,,,classificatoria,returno,121,0
4,5,4,,,ISABELA PAQUIARDI,BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,,14,3,9,,,,classificatoria,returno,121,0
*,,,,,JULIANA PAES (L),BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS x BRASÍLIA VÔLEI,COUNTRY CLUB VALINHOS,,,1,,,,,,classificatoria,returno,121,0
2,1,5,1,,MILKA SILVA,SESC RJ FLAMENGO,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,1,,1,,11,1,3,5,classificatoria,returno,122,0
*,*,*,*,,NATALIA ARAUJO (L),SESC RJ FLAMENGO,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,,,20,2,,,,,classificatoria,returno,122,0
*,*,*,*,,JUMA SILVA,SESC RJ FLAMENGO,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,,,,,,,,,classificatoria,returno,122,0
4,,,,,MAIRA CIPRIANO,SESC RJ FLAMENGO,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,1,,2,,2,1,2,,classificatoria,returno,122,0
5,4,2,4,,JUCIELY SILVA,SESC RJ FLAMENGO,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,2,2,,,12,1,3,1,classificatoria,returno,122,0
*,3,1,3,,GABRIELLA GUIMARAES,SESC RJ FLAMENGO,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,2,,12,,11,1,,,classificatoria,returno,122,0
3,2,6,2,,MONIQUE PAVAO,SESC RJ FLAMENGO,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,2,,,,10,2,3,,classificatoria,returno,122,0
1,6,4,6,,YONKAIRA PENA,SESC RJ FLAMENGO,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,1,2,36,2,16,4,2,,classificatoria,returno,122,0
*,*,*,*,,MARCELLE SILVA (L),SESC RJ FLAMENGO,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,1,,3,,,,,,classificatoria,returno,122,0
6,5,3,5,,GIOVANA GASPARINI,SESC RJ FLAMENGO,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,1,,,,,1,,,classificatoria,returno,122,0
,*,*,,,LIMA VIVIAN,BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,,,,,,1,,,classificatoria,returno,122,0
2,3,2,2,,DIANA DUARTE,BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,1,3,1,,6,,,2,classificatoria,returno,122,0
4,5,4,4,,GLAYCE VASCONCELOS,BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,3,,12,1,8,1,1,1,classificatoria,returno,122,0
*,,,*,,ANA LUIZA RUDIGER,BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,,,,,1,,,,classificatoria,returno,122,0
3,4,3,3,,LORRAYNA MARYS DA SILVA,BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,2,,,,13,3,3,1,classificatoria,returno,122,0
5,6,5,5,,LORENA VIEZEL,BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,1,1,1,,5,4,,5,classificatoria,returno,122,0
1,2,1,1,,KARINA BARBOSA,BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,,,33,2,10,3,2,2,classificatoria,returno,122,0
6,1,6,6,,JACKELINE SANTOS,BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,1,,,,,,,2,classificatoria,returno,122,0
*,*,*,*,,LAIS ZURLY VASQUES (L),BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,,,26,1,,,,,classificatoria,returno,122,0
*,*,*,,,PAULINA  DE SOUZA (L),BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,,,8,,,,,,classificatoria,returno,122,0
,*,,*,,KAROLINE TORMENA,BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO x BARUERI VOLLEYBALL CLUB,SESC RJ FLAMENGO,,,1,,,,,,classificatoria,returno,122,0
2,2,2,,,DANIELLE LINS,SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,1,,2,,,1,classificatoria,returno,123,0
3,3,3,,,SUELLE OLIVEIRA,SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,2,,8,2,7,1,,2,classificatoria,returno,123,0
*,1,1,,,ADENIZIA FERREIRA,SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,1,,1,,5,,1,4,classificatoria,returno,123,1
*,*,*,,,NYEME NUNES (L),SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,16,1,,,,,classificatoria,returno,123,0
,*,,,,LETICIA LINHARES,SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,,,,,,,classificatoria,returno,123,0
1,,,,,MAYHARA SILVA,SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,,,3,,,1,classificatoria,returno,123,0
*,*,*,,,LETICIA GOMES (L),SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,6,,,,,,classificatoria,returno,123,0
5,5,5,,,NIA REED,SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,2,1,1,,9,2,2,,classificatoria,returno,123,0
*,*,*,,,IVNA COLOMBO,SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,,,,,,,classificatoria,returno,123,0
4,4,4,,,MAYANY SOUZA,SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,3,,,,3,1,,4,classificatoria,returno,123,0
6,6,6,,,THAISINHA SOUZA,SESI VOLEI BAURU,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,2,2,15,3,6,,,1,classificatoria,returno,123,0
,,*,,,TANIELLY STORCH,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,,,,,,,classificatoria,returno,123,0
4,5,*,,,NATALIA DANIELSKI,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,2,,31,2,3,,3,1,classificatoria,returno,123,0
3,4,3,,,LAIZA FERREIRA,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,4,1,,,13,2,3,1,classificatoria,returno,123,0
2,3,2,,,CAMILA LEITE,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,1,,,,6,1,2,1,classificatoria,returno,123,0
*,*,4,,,FRANCIANE RICHTER,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,5,,2,1,2,,classificatoria,returno,123,0
1,2,1,,,AMANDA SILVA,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,2,2,15,,8,1,2,,classificatoria,returno,123,0
,,*,,,CAMILA SANTOS,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,2,,,,,,,classificatoria,returno,123,0
6,1,,,,THAIS OLIVEIRA,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,,,,,,,classificatoria,returno,123,0
,*,,,,TIFANY NASCIMENTO (L),UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,,,,,,,classificatoria,returno,123,0
*,*,*,,,KATRINA ZILBERMAN (L),UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,,,10,1,,,,,classificatoria,returno,123,0
,6,5,,,ADRIADNE BORGES,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,2,,1,,2,,,,classificatoria,returno,123,0
5,,,,,JUSSARA SILVA,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,1,,1,,1,,1,,classificatoria,returno,123,0
*,*,6,,,DEBORA PADILHA NUNES,UNILIFE-MARINGA,SESI VOLEI BAURU x UNILIFE-MARINGA,SESI VOLEI BAURU,2,1,,,1,,,,classificatoria,returno,123,0
3,4,3,,,LARA NOBRE,FLUMINENSE,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,1,,,4,,1,2,classificatoria,returno,124,0
*,*,*,,,MARIA CLARA CARVALHAES,FLUMINENSE,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,,,,,,,,classificatoria,returno,124,0
1,2,1,,,FRANCINE TOMAZONI,FLUMINENSE,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,3,1,,,1,,,2,classificatoria,returno,124,0
2,3,2,,,GABRIELA CANDIDO,FLUMINENSE,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,,18,,13,2,,,classificatoria,returno,124,0
6,1,6,,,LAYS FERNANDA FREITAS,FLUMINENSE,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,2,2,1,,1,,1,1,classificatoria,returno,124,0
*,*,*,,,JADA BURSE,FLUMINENSE,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,1,,,,2,,,,classificatoria,returno,124,0
5,6,5,,,PAULA MOHR,FLUMINENSE,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,2,15,1,7,3,1,3,classificatoria,returno,124,0
*,,,,,FRANCYNNE JACINTHO,FLUMINENSE,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,,,,,,,,classificatoria,returno,124,0
4,5,4,,,KIMBERLY GOMES,FLUMINENSE,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,1,1,,,11,2,3,2,classificatoria,returno,124,1
*,*,*,,,LETICIA MOURA (L),FLUMINENSE,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,,12,,,,,,classificatoria,returno,124,0
*,*,*,,,ROSELY NOGUEIRA,ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,1,,,,,,,,classificatoria,returno,124,0
*,*,,,,ISABELLA BERNARDO (L),ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,,12,,,,,,classificatoria,returno,124,0
*,*,*,,,CAROLINA GROSSI,ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,,1,,2,,,,classificatoria,returno,124,0
2,1,6,,,CAROLINA LEITE,ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,2,,,,1,,,1,classificatoria,returno,124,0
5,4,3,,,EDINARA BRANCHER,ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,1,,,,9,2,7,2,classificatoria,returno,124,0
,,2,,,GABRIELA MARTINS,ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,1,,,,,,,1,classificatoria,returno,124,0
4,3,*,,,DANIELE OLIVEIRA,ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,2,,,,3,,,,classificatoria,returno,124,0
3,2,1,,,TALIA COSTA,ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,3,1,18,1,6,2,,,classificatoria,returno,124,0
*,*,4,,,CAMILA MESQUITA,ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,1,,14,2,3,3,,1,classificatoria,returno,124,0
6,5,*,,,SONALY CIDRÃO,ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,,5,2,5,,3,1,classificatoria,returno,124,0
1,6,5,,,LARISSA GONGRA,ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,,,,3,,,,classificatoria,returno,124,0
,*,*,,,VITORIA PARISE (L),ESPORTE CLUBE PINHEIROS,FLUMINENSE x ESPORTE CLUBE PINHEIROS,FLUMINENSE,,,17,2,,,,,classificatoria,returno,124,0
1,6,1,6,,CAROL GATTAZ,ITAMBÉ MINAS,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,1,1,,,9,,,2,classificatoria,returno,125,0
2,1,2,1,,MACRIS  CARNEIRO,ITAMBÉ MINAS,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,4,1,,,,,,,classificatoria,returno,125,0
3,2,3,2,,PRISCILA DAROIT,ITAMBÉ MINAS,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,1,1,22,1,7,5,3,4,classificatoria,returno,125,0
4,3,4,3,,THAISA DAHER,ITAMBÉ MINAS,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,2,,,,7,1,1,6,classificatoria,returno,125,1
*,*,*,*,,KISY CESARIO,ITAMBÉ MINAS,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,,,,,1,,1,,classificatoria,returno,125,0
*,*,*,*,,PRISCILA  HELDES,ITAMBÉ MINAS,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,,,,,,,,,classificatoria,returno,125,0
6,5,6,5,,NERIMAN OZSOY,ITAMBÉ MINAS,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,,,31,2,11,2,1,,classificatoria,returno,125,0
,*,*,,,PRISCILA SOUZA,ITAMBÉ MINAS,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,1,,7,,1,,,,classificatoria,returno,125,0
*,*,*,*,,LEIA  SILVA (L),ITAMBÉ MINAS,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,,,10,2,,,,,classificatoria,returno,125,0
5,4,5,4,,DANIELLE CUTTINO,ITAMBÉ MINAS,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,2,,,,17,1,2,1,classificatoria,returno,125,0
6,6,6,6,,FABIANA CLAUDINO,OSASCO SÃO CRISTOVÃO SAÚDE,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,,2,1,,4,2,1,2,classificatoria,returno,125,0
3,3,3,3,,RACHAEL ADAMS,OSASCO SÃO CRISTOVÃO SAÚDE,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,4,1,1,1,6,1,1,2,classificatoria,returno,125,0
*,*,,,,SILVANA PAPINI,OSASCO SÃO CRISTOVÃO SAÚDE,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,,,5,,,,,,classificatoria,returno,125,0
4,4,4,4,,TIFANNY ABREU,OSASCO SÃO CRISTOVÃO SAÚDE,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,1,,,,13,3,6,1,classificatoria,returno,125,0
5,5,5,5,,MICHELLE PAVAO,OSASCO SÃO CRISTOVÃO SAÚDE,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,1,1,28,2,14,2,,2,classificatoria,returno,125,0
*,*,*,*,,KENYA MALACHIAS,OSASCO SÃO CRISTOVÃO SAÚDE,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,1,,,,,,,,classificatoria,returno,125,0
1,1,1,1,,JOSEFA FABIOLA,OSASCO SÃO CRISTOVÃO SAÚDE,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,1,,1,,,,,,classificatoria,returno,125,0
*,*,*,*,,CEREN KAPUCU,OSASCO SÃO CRISTOVÃO SAÚDE,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,,,,,4,2,4,1,classificatoria,returno,125,0
*,*,*,*,,CAMILA BRAIT (L),OSASCO SÃO CRISTOVÃO SAÚDE,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,,,21,,,,,,classificatoria,returno,125,0
2,2,2,2,,CARLA SANTOS,OSASCO SÃO CRISTOVÃO SAÚDE,ITAMBÉ MINAS x OSASCO SÃO CRISTOVÃO SAUDE,ITAMBÉ MINAS,6,1,26,,5,2,1,,classificatoria,returno,125,0
4,4,4,,,BRAYELIN MARTINEZ,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,2,1,,,14,1,1,,classificatoria,returno,126,0
6,6,6,,,JINEIRY MARTINEZ,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,2,1,,,6,,,1,classificatoria,returno,126,0
1,1,1,,,CLAUDIA BUENO,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,1,1,,,2,,,,classificatoria,returno,126,0
*,*,*,,,TAINARA SANTOS,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,,,2,,2,,classificatoria,returno,126,0
2,2,2,,,ANNE ELISE BUIJS,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,21,1,8,2,,,classificatoria,returno,126,0
*,,,,,ARIANE PINTO,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,,,,,,,classificatoria,returno,126,0
5,5,5,,,KASIELY CLEMENTE,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,1,1,9,,9,,1,2,classificatoria,returno,126,1
*,*,*,,,JULIANA PERDIGAO (L),DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,7,,,,,,classificatoria,returno,126,0
3,3,3,,,ANA CAROLINA SILVA,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,2,2,1,,7,,1,4,classificatoria,returno,126,0
,*,,,,VANESSA JANKE,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,,,,,,,classificatoria,returno,126,0
,*,*,,,SUELEN  PINTO (L),DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,6,,,,,,classificatoria,returno,126,0
*,*,*,,,LYARA BATISTA,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,1,,,,,,,classificatoria,returno,126,0
6,6,6,,,BEATRIZ FERNANDES DOS SANTOS,CURITIBA VÔLEI,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,1,,1,1,3,,,,classificatoria,returno,126,0
5,5,5,,,TAMARA ABILA PAULA,CURITIBA VÔLEI,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,2,,20,3,8,1,1,,classificatoria,returno,126,0
*,,*,,,IZADORA STEDILE,CURITIBA VÔLEI,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,4,,1,,1,,classificatoria,returno,126,0
4,4,4,,,GABRIELLA ALEXANDRA GUEDES,CURITIBA VÔLEI,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,1,,,,2,2,2,,classificatoria,returno,126,0
2,2,2,,,NELMAIRA CAROLINA VALDEZ,CURITIBA VÔLEI,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,24,2,11,4,2,4,classificatoria,returno,126,0
1,1,1,,,CALI TORI THOMPSON,CURITIBA VÔLEI,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,1,,,,,,classificatoria,returno,126,0
3,3,3,,,MELISSA RANGEL PAEZ,CURITIBA VÔLEI,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,1,1,,,3,,1,1,classificatoria,returno,126,0
*,,,,,RAFAELA BERNARDES PATALLO,CURITIBA VÔLEI,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,2,1,,,,,classificatoria,returno,126,0
,*,*,,,PAMELLA OLIVEIRA,CURITIBA VÔLEI,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,,,,,,,classificatoria,returno,126,0
*,*,*,,,TASSIA STHAEL (L),CURITIBA VÔLEI,DENTIL PRAIA CLUBE x CURITIBA VÔLEI,DENTIL PRAIA CLUBE,,,13,,,,,,classificatoria,returno,126,0
6,1,6,,,FABIANA CLAUDINO,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x UNILIFE-MARINGA,OSASCO SÃO CRISTOVÃO SAUDE,1,,1,,4,,1,1,classificatoria,returno,127,0
,,*,,,KEYLA RAMALHO,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x UNILIFE-MARINGA,OSASCO SÃO CRISTOVÃO SAUDE,,,,,,,,,classificatoria,returno,127,0
3,4,3,,,RACHAEL ADAMS,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x UNILIFE-MARINGA,OSASCO SÃO CRISTOVÃO SAUDE,3,,,,3,1,1,4,classificatoria,returno,127,0
4,5,4,,,TIFANNY ABREU,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x UNILIFE-MARINGA,OSASCO SÃO CRISTOVÃO SAUDE,1,,,,15,2,2,3,classificatoria,returno,127,0
5,6,5,,,MICHELLE PAVAO,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x UNILIFE-MARINGA,OSASCO SÃO CRISTOVÃO SAUDE,1,1,13,,6,1,1,1,classificatoria,returno,127,0
*,*,*,,,KENYA MALACHIAS,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x UNILIFE-MARINGA,OSASCO SÃO CRISTOVÃO SAUDE,1,1,,,,,,,classificatoria,returno,127,0
1,2,1,,,JOSEFA FABIOLA,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x UNILIFE-MARINGA,OSASCO SÃO CRISTOVÃO SAUDE,2,1,,,1,,,,classificatoria,returno,127,1
*,*,*,,,CEREN KAPUCU,OSASCO SÃO CRISTOVÃO SAÚDE,OSASCO SÃO CRISTOVÃO SAUDE x UNILIFE-MARINGA,OSASCO SÃO CRISTOVÃO SAUDE,,,,,6,,,1,classificatoria,returno,127,0
